,missing_count,missing_percentage,severity,zero_counts,outlier_count
property_id,7398,100.0,High,0,0
name,7398,100.0,High,0,0
address,7398,100.0,High,0,0
price,0,0.0,Low,0,0
sq_ft,7398,100.0,High,0,0
collected_at,0,0.0,Low,0,0
source,0,0.0,Low,0,0
listing_id,312,4.21735604217356,Low,0,0
coordinates,312,4.21735604217356,Low,0,0
area,0,0.0,Low,0,0
type,0,0.0,Low,0,0
description,0,0.0,Low,0,0
title,0,0.0,Low,0,0
extracted_years,4439,60.002703433360374,High,0,0
extracted_sqft,5918,79.99459313327927,High,0,0
