property_id,name,address,price,sq_ft,collected_at,source,listing_id,coordinates,area,type
,,,1454304,,2026-03-19T12:49:24.009285,LoopNet API,,,882,Industrial
,,,411266,,2026-03-19T12:49:24.009304,LoopNet API,,,928,Retail
,,,1496082,,2026-03-19T12:49:24.009307,LoopNet API,,,3714,Office
,,,1061990,,2026-03-19T12:49:24.009310,LoopNet API,,,1934,Industrial
,,,836901,,2026-03-19T12:49:24.009312,LoopNet API,,,4556,Retail
,,,846250,,2026-03-19T12:49:24.009314,LoopNet API,,,3023,Retail
,,,1664640,,2026-03-19T12:49:24.009316,LoopNet API,,,2697,Retail
,,,960415,,2026-03-19T12:49:24.009317,LoopNet API,,,517,Industrial
,,,1973683,,2026-03-19T12:49:24.009319,LoopNet API,,,3098,Office
,,,747104,,2026-03-19T12:49:24.009321,LoopNet API,,,922,Office
,,,391434,,2026-03-19T12:49:24.009323,LoopNet API,,,3020,Industrial
,,,1418565,,2026-03-19T12:49:24.009325,LoopNet API,,,4492,Office
,,,1311586,,2026-03-19T12:49:24.009326,LoopNet API,,,4057,Office
,,,1748358,,2026-03-19T12:49:24.009328,LoopNet API,,,3516,Office
,,,339282,,2026-03-19T12:49:24.009330,LoopNet API,,,1138,Office
,,,728609,,2026-03-19T12:49:24.009331,LoopNet API,,,4507,Industrial
,,,656724,,2026-03-19T12:49:24.009333,LoopNet API,,,2692,Retail
,,,1551993,,2026-03-19T12:49:24.009335,LoopNet API,,,4349,Retail
,,,332875,,2026-03-19T12:49:24.009337,LoopNet API,,,4539,Multi-Family
,,,900324,,2026-03-19T12:49:24.009338,LoopNet API,,,4253,Multi-Family
,,,494207,,2026-03-19T12:49:24.009340,LoopNet API,,,2360,Office
,,,1630626,,2026-03-19T12:49:24.009342,LoopNet API,,,2263,Multi-Family
,,,889659,,2026-03-19T12:49:24.009344,LoopNet API,,,3968,Retail
,,,1300161,,2026-03-19T12:49:24.009345,LoopNet API,,,4334,Multi-Family
,,,688804,,2026-03-19T12:49:24.009347,LoopNet API,,,4674,Multi-Family
,,,1573636,,2026-03-19T12:49:24.009349,LoopNet API,,,4394,Industrial
,,,1892628,,2026-03-19T12:49:24.009351,LoopNet API,,,1997,Industrial
,,,170668,,2026-03-19T12:49:24.009353,LoopNet API,,,2243,Office
,,,914197,,2026-03-19T12:49:24.009354,LoopNet API,,,1050,Retail
,,,441845,,2026-03-19T12:49:24.009356,LoopNet API,,,2840,Retail
,,,1342896,,2026-03-19T12:49:24.009358,LoopNet API,,,1606,Office
,,,278665,,2026-03-19T12:49:24.009359,LoopNet API,,,1567,Multi-Family
,,,1423707,,2026-03-19T12:49:24.009361,LoopNet API,,,2213,Retail
,,,1542281,,2026-03-19T12:49:24.009363,LoopNet API,,,3909,Industrial
,,,479303,,2026-03-19T12:49:24.009365,LoopNet API,,,3438,Retail
,,,309281,,2026-03-19T12:49:24.009366,LoopNet API,,,2786,Multi-Family
,,,1630566,,2026-03-19T12:49:24.009368,LoopNet API,,,4996,Retail
,,,1869633,,2026-03-19T12:49:24.009370,LoopNet API,,,1388,Industrial
,,,1819871,,2026-03-19T12:49:24.009371,LoopNet API,,,4764,Multi-Family
,,,1295465,,2026-03-19T12:49:24.009373,LoopNet API,,,3430,Retail
,,,1886821,,2026-03-19T12:49:24.009375,LoopNet API,,,2705,Office
,,,1350488,,2026-03-19T12:49:24.009377,LoopNet API,,,891,Retail
,,,592006,,2026-03-19T12:49:24.009378,LoopNet API,,,4687,Retail
,,,356092,,2026-03-19T12:49:24.009380,LoopNet API,,,4945,Office
,,,1396871,,2026-03-19T12:49:24.009387,LoopNet API,,,3197,Industrial
,,,1561733,,2026-03-19T12:49:24.009389,LoopNet API,,,3001,Multi-Family
,,,1358632,,2026-03-19T12:49:24.009391,LoopNet API,,,4873,Office
,,,1998179,,2026-03-19T12:49:24.009392,LoopNet API,,,3189,Retail
,,,399503,,2026-03-19T12:49:24.009394,LoopNet API,,,2779,Multi-Family
,,,1414958,,2026-03-19T12:49:24.009396,LoopNet API,,,2748,Retail
,,,1525586,,2026-03-19T12:49:24.009397,LoopNet API,,,4717,Multi-Family
,,,1901439,,2026-03-19T12:49:24.009399,LoopNet API,,,4328,Office
,,,410972,,2026-03-19T12:49:24.009401,LoopNet API,,,3684,Office
,,,1720499,,2026-03-19T12:49:24.009403,LoopNet API,,,614,Office
,,,498712,,2026-03-19T12:49:24.009404,LoopNet API,,,2141,Retail
,,,1293961,,2026-03-19T12:49:24.009406,LoopNet API,,,1192,Retail
,,,193323,,2026-03-19T12:49:24.009408,LoopNet API,,,4174,Multi-Family
,,,441037,,2026-03-19T12:49:24.009409,LoopNet API,,,1261,Multi-Family
,,,1243108,,2026-03-19T12:49:24.009411,LoopNet API,,,2142,Retail
,,,1073677,,2026-03-19T12:49:24.009413,LoopNet API,,,3775,Office
