price,collected_at,source,listing_id,coordinates,area,type,description,title,extracted_price_mentions,short_description_flag
1.086677e+06,2026-03-22t19:23:40.968538,loopnet api,33157222,"[[-77.629305, 43.193999]]",3435.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 312,,False
1.75108e+06,2026-03-22t19:23:40.968550,loopnet api,39251110,"[[-77.477505, 43.204216]]",2060.0,Industrial,prime location property. price reduced by 10%.,property listing 313,,False
1.928309e+06,2026-03-22t19:23:40.968554,loopnet api,39817288,"[[-77.630988, 43.19586]]",3765.0,Office,"modern office building, 2015 construction.",property listing 314,,False
1.519519e+06,2026-03-22t19:23:40.968556,loopnet api,39712189,"[[-77.678778, 43.108532]]",4813.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 315,,False
765386.0,2026-03-22t19:23:40.968558,loopnet api,39625204,"[[-77.7088, 43.146607]]",1440.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 316,,False
140869.0,2026-03-22t19:23:40.968560,loopnet api,39616616,"[[-77.696694, 43.183124]]",1773.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 317,,False
1.868817e+06,2026-03-22t19:23:40.968563,loopnet api,39602403,"[[-77.452169, 43.208601]]",3038.0,Industrial,prime location property. price reduced by 10%.,property listing 318,,False
615455.0,2026-03-22t19:23:40.968565,loopnet api,39587954,"[[-77.699985, 43.149222]]",1076.0,Office,"modern office building, 2015 construction.",property listing 319,,False
733087.0,2026-03-22t19:23:40.968567,loopnet api,39577570,"[[-77.732281, 43.21782]]",1989.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 320,,False
138741.0,2026-03-22t19:23:40.968569,loopnet api,39558241,"[[-77.486755, 43.079174]]",4100.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 321,,False
1.140105e+06,2026-03-22t19:23:40.968571,loopnet api,39432321,"[[-77.603237, 43.115479]]",591.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 322,,False
483615.0,2026-03-22t19:23:40.968573,loopnet api,39402981,"[[-77.569621, 43.201708]]",4184.0,Multi-Family,prime location property. price reduced by 10%.,property listing 323,,False
1.648878e+06,2026-03-22t19:23:40.968575,loopnet api,39388644,"[[-77.583062, 43.163556]]",4259.0,Industrial,"modern office building, 2015 construction.",property listing 324,,False
1.064435e+06,2026-03-22t19:23:40.968576,loopnet api,39323587,"[[-77.628679, 43.099292]]",534.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 325,,False
1.352184e+06,2026-03-22t19:23:40.968578,loopnet api,39322261,"[[-77.628546, 43.135555], [-77.62244, 43.13992], [-77.62866, 43.13642], [-77.64013, 43.12885]]",3789.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 326,,False
1.436647e+06,2026-03-22t19:23:40.968580,loopnet api,39317559,"[[-77.652737, 43.184384]]",870.0,Multi-Family,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 327,,False
279453.0,2026-03-22t19:23:40.968582,loopnet api,39302800,"[[-77.687407, 43.208923]]",1925.0,Office,prime location property. price reduced by 10%.,property listing 328,,False
772455.0,2026-03-22t19:23:40.968584,loopnet api,39292350,"[[-77.621133, 43.082114]]",2578.0,Industrial,"modern office building, 2015 construction.",property listing 329,,False
736500.0,2026-03-22t19:23:40.968586,loopnet api,39270340,"[[-77.596377, 43.140599], [-77.595678, 43.140665], [-77.596294, 43.140951], [-77.596385, 43.140912], [-77.596329, 43.140442]]",937.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 330,,False
1.787961e+06,2026-03-22t19:23:40.968587,loopnet api,39265429,"[[-77.579476, 43.138666]]",1226.0,Industrial,retail storefront. contact 555-0199 for info.,property listing 331,,False
113686.0,2026-03-22t19:23:40.968589,loopnet api,39265207,"[[-77.579987, 43.150797]]",2667.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 332,,False
1.091437e+06,2026-03-22t19:23:40.968591,loopnet api,39228650,"[[-77.615279, 43.101188]]",4142.0,Office,prime location property. price reduced by 10%.,property listing 333,,False
193347.0,2026-03-22t19:23:40.968593,loopnet api,39172088,"[[-77.674289, 43.111963]]",4917.0,Retail,"modern office building, 2015 construction.",property listing 334,,False
1.051962e+06,2026-03-22t19:23:40.968594,loopnet api,39113038,"[[-77.641053, 43.146858]]",1451.0,Multi-Family,beautiful office space built in 1995. new roof installed in 2020.,property listing 335,,False
1.998905e+06,2026-03-22t19:23:40.968596,loopnet api,39082310,"[[-77.607652, 43.180298]]",4920.0,Retail,retail storefront. contact 555-0199 for info.,property listing 336,,False
1.613282e+06,2026-03-22t19:23:40.968598,loopnet api,39031619,"[[-77.559786, 43.169987]]",2115.0,Industrial,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 337,,False
809613.0,2026-03-22t19:23:40.968599,loopnet api,39011722,"[[-77.614977, 43.178606]]",3807.0,Retail,prime location property. price reduced by 10%.,property listing 338,,False
636995.0,2026-03-22t19:23:40.968601,loopnet api,38985531,"[[-77.635785, 43.095101]]",3584.0,Multi-Family,"modern office building, 2015 construction.",property listing 339,,False
673665.0,2026-03-22t19:23:40.968603,loopnet api,38816016,"[[-77.66101, 43.149414]]",1159.0,Retail,beautiful office space built in 1995. new roof installed in 2020.,property listing 340,,False
508851.0,2026-03-22t19:23:40.968605,loopnet api,38794915,"[[-77.651745, 43.145283]]",1223.0,Retail,retail storefront. contact 555-0199 for info.,property listing 341,,False
859839.0,2026-03-22t19:23:40.968606,loopnet api,38693769,"[[-77.642082, 43.222331]]",3768.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 342,,False
921639.0,2026-03-22t19:23:40.968608,loopnet api,38658005,"[[-77.649384, 43.161883]]",3972.0,Office,prime location property. price reduced by 10%.,property listing 343,,False
1.667771e+06,2026-03-22t19:23:40.968610,loopnet api,38636419,"[[-77.626949, 43.16643], [-77.600855, 43.173812]]",1460.0,Multi-Family,"modern office building, 2015 construction.",property listing 344,,False
1.413309e+06,2026-03-22t19:23:40.968612,loopnet api,38636410,"[[-77.661895, 43.046676]]",4224.0,Industrial,beautiful office space built in 1995. new roof installed in 2020.,property listing 345,,False
952881.0,2026-03-22t19:23:40.968613,loopnet api,38610227,"[[-77.564976, 43.14901]]",3919.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 346,,False
1.187609e+06,2026-03-22t19:23:40.968615,loopnet api,38579493,"[[-77.65508, 43.153301]]",2725.0,Retail,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 347,,False
1.380715e+06,2026-03-22t19:23:40.968617,loopnet api,38553022,"[[-77.599309, 43.157494]]",3879.0,Multi-Family,prime location property. price reduced by 10%.,property listing 348,,False
1.986952e+06,2026-03-22t19:23:40.968618,loopnet api,38530756,"[[-77.59832, 43.159179]]",3848.0,Multi-Family,"modern office building, 2015 construction.",property listing 349,,False
1.192742e+06,2026-03-22t19:23:40.968620,loopnet api,38530691,"[[-77.599626, 43.159095]]",1729.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 350,,False
488418.0,2026-03-22t19:23:40.968622,loopnet api,38500653,"[[-77.59903, 43.142998]]",2180.0,Multi-Family,retail storefront. contact 555-0199 for info.,property listing 351,,False
734589.0,2026-03-22t19:23:40.968623,loopnet api,38455770,"[[-77.63365, 43.197508]]",2341.0,Office,"industrial warehouse, zoned m1. 5000 sqft available.",property listing 352,,False
233708.0,2026-03-22t19:23:40.968625,loopnet api,38433685,"[[-77.509827, 43.178265]]",535.0,Industrial,prime location property. price reduced by 10%.,property listing 353,,False
968192.0,2026-03-22t19:23:40.968627,loopnet api,38423222,"[[-77.670455, 43.205365]]",4491.0,Multi-Family,"modern office building, 2015 construction.",property listing 354,,False
1.342755e+06,2026-03-22t19:23:40.968629,loopnet api,38410033,"[[-77.612807, 43.165168]]",1583.0,Office,beautiful office space built in 1995. new roof installed in 2020.,property listing 355,,False
